Date/Time,HPWHSCHEDULEDTANK_UNIT1:Water Heater Use Side Inlet Temperature [C](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Use Side Outlet Temperature [C](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Source Side Inlet Temperature [C](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Source Side Outlet Temperature [C](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Electricity Rate [W](Hourly),HPWHSCHEDULEDTANK_UNIT1:Water Heater Water Volume Flow Rate [m3/s](Hourly) 
 01/02  19:00:00,48.8888888888889,58.47083261393758,58.47083261393758,58.47083261393758,0.0,0.0 
 01/02  20:00:00,48.8888888888889,58.29222643252782,58.29222643252782,58.29222643252782,0.0,0.0 
 01/02  21:00:00,48.8888888888889,58.11445655566706,58.11445655566706,58.11445655566706,0.0,0.0 
 01/02  22:00:00,48.8888888888889,59.6753993418289,62.1650380201103,59.6753993418289,0.0,0.0 
 01/02  23:00:00,48.8888888888889,59.814278609775315,59.814278609775315,59.814278609775315,0.0,0.0 
 01/02  24:00:00,48.8888888888889,59.6293779304774,59.6293779304774,59.6293779304774,0.0,0.0 
 01/03  01:00:00,48.8888888888889,59.445343987831365,59.445343987831365,59.445343987831365,0.0,0.0 
 01/03  02:00:00,48.8888888888889,59.262172587433156,59.262172587433156,59.262172587433156,0.0,0.0 
 01/03  03:00:00,48.8888888888889,59.07985955642029,59.07985955642029,59.07985955642029,0.0,0.0 
 01/03  04:00:00,48.8888888888889,58.898400743472514,58.898400743472514,58.898400743472514,0.0,0.0 
 01/03  05:00:00,48.8888888888889,58.717792018520576,58.717792018520576,58.717792018520576,0.0,0.0 
 01/03  06:00:00,48.8888888888889,58.538029272668915,58.538029272668915,58.538029272668915,0.0,0.0 
 01/03  07:00:00,48.8888888888889,58.359108418078314,58.359108418078314,58.359108418078314,0.0,0.0 
 01/03  08:00:00,48.8888888888889,58.18102538781769,58.18102538781769,58.18102538781769,0.0,0.0 
 01/03  09:00:00,48.8888888888889,58.71424911395274,61.20329902966218,58.71424911395274,0.0,0.0 
 01/03  10:00:00,48.8888888888889,59.90705585889603,59.90705585889603,59.90705585889603,0.0,0.0 
 01/03  11:00:00,48.8888888888889,59.721720242673925,59.721720242673925,59.721720242673925,0.0,0.0 
 01/03  12:00:00,48.8888888888889,59.53725404258095,59.53725404258095,59.53725404258095,0.0,0.0 
